id,name,salary_from,salary_to,salary_currency,area,city,latitude,longitude,employer_url,professional_role
109544163,Начинающий бухгалтер,200000,250000,KZT,Алматы,Алматы,43.219256,76.879924,https://hh.ru/employer/9351946,Бухгалтер
109544003,Уборщица/уборщик в кофейню (ГК Шымбулак),,,,Алматы,Алматы,,,https://hh.ru/employer/777065,"Программист, разработчик"
109543962,Менеджер проекта,500000,600000,KZT,Алматы,Алматы,,,https://hh.ru/employer/869256,Руководитель проектов
109526170,Специалист по тендерам,150000,1000000,KZT,Алматы,Алматы,,,https://hh.ru/employer/6055683,Специалист по тендерам
108740568,Менеджер по продажам услуг,300000,1000000,KZT,Алматы,Алматы,43.224407,76.937344,https://hh.ru/employer/6055683,"Менеджер по продажам, менеджер по работе с клиентами"
109543818,Бухгалтер,350000,,KZT,Алматы,Алматы,43.250573,76.940596,https://hh.ru/employer/10001135,Бухгалтер
109543411,Агент по недвижимости,500000,,KZT,Алматы,Алматы,43.235961,76.881604,https://hh.ru/employer/10672179,Агент по недвижимости
95976413,Vertical Start-up Lead,,,,Алматы,Алматы,,,https://hh.ru/employer/100673,Руководитель проектов
109542888,Техник-электрик,200000,250000,KZT,Алматы,Алматы,,,https://hh.ru/employer/732271,Электромонтажник
107558797,Помощник заведующего складом / Грузчик-комплектовщик,150000,200000,KZT,Алматы,Алматы,43.242581,76.897783,https://hh.ru/employer/1133669,"Упаковщик, комплектовщик"
109542806,Электрик,250000,300000,KZT,Алматы,Алматы,,,https://hh.ru/employer/4268777,Электромонтажник
109542439,Экономист,350000,,KZT,Алматы,Алматы,43.289145,76.907682,https://hh.ru/employer/4129180,Экономист
109542001,Кадровый-делопроизводитель,250000,300000,KZT,Алматы,Алматы,43.232828,76.922352,https://hh.ru/employer/790873,Специалист по кадрам
107757243,Менеджер по продажам digital-рекламы (В2В),350000,1500000,KZT,Алматы,Алматы,,,https://hh.ru/employer/40662,"Менеджер по продажам, менеджер по работе с клиентами"
109541621,Мастер маникюра,300000,500000,KZT,Алматы,Алматы,43.227889,76.90629,https://hh.ru/employer/11559692,Мастер ногтевого сервиса
109541565,Бухгалтер в единственном числе,600000,700000,KZT,Алматы,Алматы,43.230352,76.947199,https://hh.ru/employer/1840247,Бухгалтер
109541488,Снабженец,,,,Алматы,Алматы,,,https://hh.ru/employer/10107122,Менеджер по закупкам
109541314,Администратор в центр косметологии,200000,350000,KZT,Алматы,Алматы,43.22443034109862,76.89189481462998,https://hh.ru/employer/5287097,Администратор
109541199,Координатор отдела продаж КА,,,,Алматы,Алматы,55.75999999999371,37.63999999999997,https://hh.ru/employer/25673,Координатор отдела продаж
109541189,Администратор в студию аппаратной косметологии и EMS-фитнеса,300000,350000,KZT,Алматы,Алматы,43.24637,76.911482,https://hh.ru/employer/9502273,Администратор
109541132,Юрист,,,,Алматы,Алматы,43.30075795671647,76.79845160318519,https://hh.ru/employer/1527938,Юрист
109540916,"Товаровед (кладовщик) в ""MANGO"" в ТЦ Forum",185000,270000,KZT,Алматы,Алматы,,,https://hh.ru/employer/8935231,Товаровед
109540905,Токарь-универсал,340000,,KZT,Алматы,Алматы,43.27764,76.893489,https://hh.ru/employer/1765971,"Токарь, фрезеровщик, шлифовщик"
109540897,"Senior Software инженер ( Java, Проект Digital Middleware)",,,,Алматы,Алматы,,,https://hh.ru/employer/135317,"Программист, разработчик"
105473811,Key Account Manager,,,,Алматы,Алматы,,,https://hh.ru/employer/4596707,Менеджер по работе с партнерами
105461880,Руководитель коммерческого отдела,,,,Алматы,Алматы,,,https://hh.ru/employer/4596707,Коммерческий директор (CCO)
109540812,Помощник адвоката,150000,250000,KZT,Алматы,Алматы,43.229833,76.896525,https://hh.ru/employer/9349487,Юрисконсульт
109540773,Менеджер по работе с клиентами,500000,1000000,KZT,Алматы,Алматы,43.204045,76.89754,https://hh.ru/employer/5285531,"Менеджер по продажам, менеджер по работе с клиентами"
108610971,Менеджер по обработке заказов,180000,250000,KZT,Алматы,Алматы,43.219256,76.879924,https://hh.ru/employer/6033868,Другое
109540246,Инфлюенс-маркетолог,,,,Алматы,Алматы,,,https://hh.ru/employer/110833,"Менеджер по маркетингу, интернет-маркетолог"
109540133,Senior Auditor (Ведущий Аудитор),,,,Алматы,Алматы,,,https://hh.ru/employer/2753008,Аудитор
109539849,Начальник отдела персонала,,,,Алматы,Алматы,43.21994,76.933634,https://hh.ru/employer/746719,Руководитель отдела персонала
109539788,Разработчик 1С (удаленно),800000,1200000,KZT,Алматы,Алматы,,,https://hh.ru/employer/983696,"Программист, разработчик"
109539622,Менеджер по продажам медицинского оборудования,150000,300000,KZT,Алматы,Алматы,,,https://hh.ru/employer/6058194,"Менеджер по продажам, менеджер по работе с клиентами"
